seed,model,final_value,improvements,sum_N,resilience_score
200,GR-LS,10119,1,0.0000,0.0000
200,PSI,19862,3,229.5437,0.0000
201,GR-B,10116,0,0.0000,0.0000
201,GR-LS,10119,1,0.0000,0.0000
201,PSI,19862,3,229.5437,0.0000
202,GR-B,10116,0,0.0000,0.0000
202,GR-LS,10119,1,0.0000,0.0000
202,PSI,19862,3,229.5437,0.0000
203,GR-B,10116,0,0.0000,0.0000
203,GR-LS,10119,1,0.0000,0.0000
203,PSI,19862,3,229.5437,0.0000
204,GR-B,10116,0,0.0000,0.0000
204,GR-LS,10119,1,0.0000,0.0000
204,PSI,19862,3,229.5437,0.0000
205,GR-B,10116,0,0.0000,0.0000
205,GR-LS,10119,1,0.0000,0.0000
205,PSI,19862,3,229.5437,0.0000
206,GR-B,10116,0,0.0000,0.0000
206,GR-LS,10119,1,0.0000,0.0000
206,PSI,19862,3,229.5437,0.0000
207,GR-B,10116,0,0.0000,0.0000
207,GR-LS,10119,1,0.0000,0.0000
207,PSI,19862,3,229.5437,0.0000
208,GR-B,10116,0,0.0000,0.0000
208,GR-LS,10119,1,0.0000,0.0000
208,PSI,19862,3,229.5437,0.0000
209,GR-B,10116,0,0.0000,0.0000
209,GR-LS,10119,1,0.0000,0.0000
209,PSI,19862,3,229.5437,0.0000
210,GR-B,10116,0,0.0000,0.0000
210,GR-LS,10119,1,0.0000,0.0000
210,PSI,19862,3,229.5437,0.0000
211,GR-B,10116,0,0.0000,0.0000
211,GR-LS,10119,1,0.0000,0.0000
211,PSI,19862,3,229.5437,0.0000
212,GR-B,10116,0,0.0000,0.0000
212,GR-LS,10119,1,0.0000,0.0000
212,PSI,19862,3,229.5437,0.0000
213,GR-B,10116,0,0.0000,0.0000
213,GR-LS,10119,1,0.0000,0.0000
213,PSI,19862,3,229.5437,0.0000
214,GR-B,10116,0,0.0000,0.0000
214,GR-LS,10119,1,0.0000,0.0000
214,PSI,19862,3,229.5437,0.0000
215,GR-B,10116,0,0.0000,0.0000
215,GR-LS,10119,1,0.0000,0.0000
215,PSI,19862,3,229.5437,0.0000
216,GR-B,10116,0,0.0000,0.0000
216,GR-LS,10119,1,0.0000,0.0000
216,PSI,19862,3,229.5437,0.0000
217,GR-B,10116,0,0.0000,0.0000
217,GR-LS,10119,1,0.0000,0.0000
217,PSI,19862,3,229.5437,0.0000
218,GR-B,10116,0,0.0000,0.0000
218,GR-LS,10119,1,0.0000,0.0000
218,PSI,19862,3,229.5437,0.0000
219,GR-B,10116,0,0.0000,0.0000
219,GR-LS,10119,1,0.0000,0.0000
219,PSI,19862,3,229.5437,0.0000
220,GR-B,10116,0,0.0000,0.0000
220,GR-LS,10119,1,0.0000,0.0000
220,PSI,19862,3,229.5437,0.0000
221,GR-B,10116,0,0.0000,0.0000
221,GR-LS,10119,1,0.0000,0.0000
221,PSI,19862,3,229.5437,0.0000
222,GR-B,10116,0,0.0000,0.0000
222,GR-LS,10119,1,0.0000,0.0000
222,PSI,19862,3,229.5437,0.0000
223,GR-B,10116,0,0.0000,0.0000
223,GR-LS,10119,1,0.0000,0.0000
223,PSI,19862,3,229.5437,0.0000
224,GR-B,10116,0,0.0000,0.0000
224,GR-LS,10119,1,0.0000,0.0000
224,PSI,19862,3,229.5437,0.0000
225,GR-B,10116,0,0.0000,0.0000
225,GR-LS,10119,1,0.0000,0.0000
225,PSI,19862,3,229.5437,0.0000
226,GR-B,10116,0,0.0000,0.0000
226,GR-LS,10119,1,0.0000,0.0000
226,PSI,19862,3,229.5437,0.0000
227,GR-B,10116,0,0.0000,0.0000
227,GR-LS,10119,1,0.0000,0.0000
227,PSI,19862,3,229.5437,0.0000
228,GR-B,10116,0,0.0000,0.0000
228,GR-LS,10119,1,0.0000,0.0000
228,PSI,19862,3,229.5437,0.0000
229,GR-B,10116,0,0.0000,0.0000
229,GR-LS,10119,1,0.0000,0.0000
229,PSI,19862,3,229.5437,0.0000
230,GR-B,10116,0,0.0000,0.0000
230,GR-LS,10119,1,0.0000,0.0000
230,PSI,19862,3,229.5437,0.0000
231,GR-B,10116,0,0.0000,0.0000
231,GR-LS,10119,1,0.0000,0.0000
231,PSI,19862,3,229.5437,0.0000
232,GR-B,10116,0,0.0000,0.0000
232,GR-LS,10119,1,0.0000,0.0000
232,PSI,19862,3,229.5437,0.0000
233,GR-B,10116,0,0.0000,0.0000
233,GR-LS,10119,1,0.0000,0.0000
233,PSI,19862,3,229.5437,0.0000
