seed,model,final_value,improvements,sum_N,resilience_score
67,PSI,19862,3,229.5437,0.0000
68,GR-B,10116,0,0.0000,0.0000
68,GR-LS,10119,1,0.0000,0.0000
68,PSI,19862,3,229.5437,0.0000
69,GR-B,10116,0,0.0000,0.0000
69,GR-LS,10119,1,0.0000,0.0000
69,PSI,19862,3,229.5437,0.0000
70,GR-B,10116,0,0.0000,0.0000
70,GR-LS,10119,1,0.0000,0.0000
70,PSI,19862,3,229.5437,0.0000
71,GR-B,10116,0,0.0000,0.0000
71,GR-LS,10119,1,0.0000,0.0000
71,PSI,19862,3,229.5437,0.0000
72,GR-B,10116,0,0.0000,0.0000
72,GR-LS,10119,1,0.0000,0.0000
72,PSI,19862,3,229.5437,0.0000
73,GR-B,10116,0,0.0000,0.0000
73,GR-LS,10119,1,0.0000,0.0000
73,PSI,19862,3,229.5437,0.0000
74,GR-B,10116,0,0.0000,0.0000
74,GR-LS,10119,1,0.0000,0.0000
74,PSI,19862,3,229.5437,0.0000
75,GR-B,10116,0,0.0000,0.0000
75,GR-LS,10119,1,0.0000,0.0000
75,PSI,19862,3,229.5437,0.0000
76,GR-B,10116,0,0.0000,0.0000
76,GR-LS,10119,1,0.0000,0.0000
76,PSI,19862,3,229.5437,0.0000
77,GR-B,10116,0,0.0000,0.0000
77,GR-LS,10119,1,0.0000,0.0000
77,PSI,19862,3,229.5437,0.0000
78,GR-B,10116,0,0.0000,0.0000
78,GR-LS,10119,1,0.0000,0.0000
78,PSI,19862,3,229.5437,0.0000
79,GR-B,10116,0,0.0000,0.0000
79,GR-LS,10119,1,0.0000,0.0000
79,PSI,19862,3,229.5437,0.0000
80,GR-B,10116,0,0.0000,0.0000
80,GR-LS,10119,1,0.0000,0.0000
80,PSI,19862,3,229.5437,0.0000
81,GR-B,10116,0,0.0000,0.0000
81,GR-LS,10119,1,0.0000,0.0000
81,PSI,19862,3,229.5437,0.0000
82,GR-B,10116,0,0.0000,0.0000
82,GR-LS,10119,1,0.0000,0.0000
82,PSI,19862,3,229.5437,0.0000
83,GR-B,10116,0,0.0000,0.0000
83,GR-LS,10119,1,0.0000,0.0000
83,PSI,19862,3,229.5437,0.0000
84,GR-B,10116,0,0.0000,0.0000
84,GR-LS,10119,1,0.0000,0.0000
84,PSI,19862,3,229.5437,0.0000
85,GR-B,10116,0,0.0000,0.0000
85,GR-LS,10119,1,0.0000,0.0000
85,PSI,19862,3,229.5437,0.0000
86,GR-B,10116,0,0.0000,0.0000
86,GR-LS,10119,1,0.0000,0.0000
86,PSI,19862,3,229.5437,0.0000
87,GR-B,10116,0,0.0000,0.0000
87,GR-LS,10119,1,0.0000,0.0000
87,PSI,19862,3,229.5437,0.0000
88,GR-B,10116,0,0.0000,0.0000
88,GR-LS,10119,1,0.0000,0.0000
88,PSI,19862,3,229.5437,0.0000
89,GR-B,10116,0,0.0000,0.0000
89,GR-LS,10119,1,0.0000,0.0000
89,PSI,19862,3,229.5437,0.0000
90,GR-B,10116,0,0.0000,0.0000
90,GR-LS,10119,1,0.0000,0.0000
90,PSI,19862,3,229.5437,0.0000
91,GR-B,10116,0,0.0000,0.0000
91,GR-LS,10119,1,0.0000,0.0000
91,PSI,19862,3,229.5437,0.0000
92,GR-B,10116,0,0.0000,0.0000
92,GR-LS,10119,1,0.0000,0.0000
92,PSI,19862,3,229.5437,0.0000
93,GR-B,10116,0,0.0000,0.0000
93,GR-LS,10119,1,0.0000,0.0000
93,PSI,19862,3,229.5437,0.0000
94,GR-B,10116,0,0.0000,0.0000
94,GR-LS,10119,1,0.0000,0.0000
94,PSI,19862,3,229.5437,0.0000
95,GR-B,10116,0,0.0000,0.0000
95,GR-LS,10119,1,0.0000,0.0000
95,PSI,19862,3,229.5437,0.0000
96,GR-B,10116,0,0.0000,0.0000
96,GR-LS,10119,1,0.0000,0.0000
96,PSI,19862,3,229.5437,0.0000
97,GR-B,10116,0,0.0000,0.0000
97,GR-LS,10119,1,0.0000,0.0000
97,PSI,19862,3,229.5437,0.0000
98,GR-B,10116,0,0.0000,0.0000
98,GR-LS,10119,1,0.0000,0.0000
98,PSI,19862,3,229.5437,0.0000
99,GR-B,10116,0,0.0000,0.0000
99,GR-LS,10119,1,0.0000,0.0000
99,PSI,19862,3,229.5437,0.0000
100,GR-B,10116,0,0.0000,0.0000
100,GR-LS,10119,1,0.0000,0.0000
100,PSI,19862,3,229.5437,0.0000
101,GR-B,10116,0,0.0000,0.0000
101,GR-LS,10119,1,0.0000,0.0000
101,PSI,19862,3,229.5437,0.0000
102,GR-B,10116,0,0.0000,0.0000
102,GR-LS,10119,1,0.0000,0.0000
102,PSI,19862,3,229.5437,0.0000
103,GR-B,10116,0,0.0000,0.0000
103,GR-LS,10119,1,0.0000,0.0000
103,PSI,19862,3,229.5437,0.0000
104,GR-B,10116,0,0.0000,0.0000
104,GR-LS,10119,1,0.0000,0.0000
104,PSI,19862,3,229.5437,0.0000
105,GR-B,10116,0,0.0000,0.0000
105,GR-LS,10119,1,0.0000,0.0000
105,PSI,19862,3,229.5437,0.0000
106,GR-B,10116,0,0.0000,0.0000
106,GR-LS,10119,1,0.0000,0.0000
106,PSI,19862,3,229.5437,0.0000
107,GR-B,10116,0,0.0000,0.0000
107,GR-LS,10119,1,0.0000,0.0000
107,PSI,19862,3,229.5437,0.0000
108,GR-B,10116,0,0.0000,0.0000
108,GR-LS,10119,1,0.0000,0.0000
108,PSI,19862,3,229.5437,0.0000
109,GR-B,10116,0,0.0000,0.0000
109,GR-LS,10119,1,0.0000,0.0000
109,PSI,19862,3,229.5437,0.0000
110,GR-B,10116,0,0.0000,0.0000
110,GR-LS,10119,1,0.0000,0.0000
110,PSI,19862,3,229.5437,0.0000
111,GR-B,10116,0,0.0000,0.0000
111,GR-LS,10119,1,0.0000,0.0000
111,PSI,19862,3,229.5437,0.0000
112,GR-B,10116,0,0.0000,0.0000
112,GR-LS,10119,1,0.0000,0.0000
112,PSI,19862,3,229.5437,0.0000
113,GR-B,10116,0,0.0000,0.0000
113,GR-LS,10119,1,0.0000,0.0000
113,PSI,19862,3,229.5437,0.0000
114,GR-B,10116,0,0.0000,0.0000
114,GR-LS,10119,1,0.0000,0.0000
114,PSI,19862,3,229.5437,0.0000
115,GR-B,10116,0,0.0000,0.0000
115,GR-LS,10119,1,0.0000,0.0000
115,PSI,19862,3,229.5437,0.0000
116,GR-B,10116,0,0.0000,0.0000
116,GR-LS,10119,1,0.0000,0.0000
116,PSI,19862,3,229.5437,0.0000
117,GR-B,10116,0,0.0000,0.0000
117,GR-LS,10119,1,0.0000,0.0000
117,PSI,19862,3,229.5437,0.0000
118,GR-B,10116,0,0.0000,0.0000
118,GR-LS,10119,1,0.0000,0.0000
118,PSI,19862,3,229.5437,0.0000
119,GR-B,10116,0,0.0000,0.0000
119,GR-LS,10119,1,0.0000,0.0000
119,PSI,19862,3,229.5437,0.0000
120,GR-B,10116,0,0.0000,0.0000
120,GR-LS,10119,1,0.0000,0.0000
120,PSI,19862,3,229.5437,0.0000
121,GR-B,10116,0,0.0000,0.0000
121,GR-LS,10119,1,0.0000,0.0000
121,PSI,19862,3,229.5437,0.0000
122,GR-B,10116,0,0.0000,0.0000
122,GR-LS,10119,1,0.0000,0.0000
122,PSI,19862,3,229.5437,0.0000
123,GR-B,10116,0,0.0000,0.0000
123,GR-LS,10119,1,0.0000,0.0000
123,PSI,19862,3,229.5437,0.0000
124,GR-B,10116,0,0.0000,0.0000
124,GR-LS,10119,1,0.0000,0.0000
124,PSI,19862,3,229.5437,0.0000
125,GR-B,10116,0,0.0000,0.0000
125,GR-LS,10119,1,0.0000,0.0000
125,PSI,19862,3,229.5437,0.0000
126,GR-B,10116,0,0.0000,0.0000
126,GR-LS,10119,1,0.0000,0.0000
126,PSI,19862,3,229.5437,0.0000
127,GR-B,10116,0,0.0000,0.0000
127,GR-LS,10119,1,0.0000,0.0000
127,PSI,19862,3,229.5437,0.0000
128,GR-B,10116,0,0.0000,0.0000
128,GR-LS,10119,1,0.0000,0.0000
128,PSI,19862,3,229.5437,0.0000
129,GR-B,10116,0,0.0000,0.0000
129,GR-LS,10119,1,0.0000,0.0000
129,PSI,19862,3,229.5437,0.0000
130,GR-B,10116,0,0.0000,0.0000
130,GR-LS,10119,1,0.0000,0.0000
130,PSI,19862,3,229.5437,0.0000
131,GR-B,10116,0,0.0000,0.0000
131,GR-LS,10119,1,0.0000,0.0000
131,PSI,19862,3,229.5437,0.0000
132,GR-B,10116,0,0.0000,0.0000
132,GR-LS,10119,1,0.0000,0.0000
132,PSI,19862,3,229.5437,0.0000
133,GR-B,10116,0,0.0000,0.0000
133,GR-LS,10119,1,0.0000,0.0000
133,PSI,19862,3,229.5437,0.0000
134,GR-B,10116,0,0.0000,0.0000
134,GR-LS,10119,1,0.0000,0.0000
134,PSI,19862,3,229.5437,0.0000
135,GR-B,10116,0,0.0000,0.0000
135,GR-LS,10119,1,0.0000,0.0000
135,PSI,19862,3,229.5437,0.0000
136,GR-B,10116,0,0.0000,0.0000
136,GR-LS,10119,1,0.0000,0.0000
136,PSI,19862,3,229.5437,0.0000
137,GR-B,10116,0,0.0000,0.0000
137,GR-LS,10119,1,0.0000,0.0000
